participant,epochs,SAT,condition
S15,485,speed,Low
S15,486,speed,Low
S15,487,speed,High
S15,488,speed,High
S15,489,speed,High
S15,490,speed,High
S15,491,speed,Medium
S15,492,speed,High
S15,493,speed,High
S15,494,speed,High
S15,495,speed,High
S15,496,speed,Low
S15,497,speed,High
S15,498,speed,High
S15,499,speed,High
S15,500,speed,High
S15,501,speed,Medium
S15,502,speed,High
S15,503,speed,High
S15,504,speed,High
S15,505,speed,High
S15,506,speed,High
S15,507,speed,High
S15,508,speed,High
S15,510,speed,High
S15,511,speed,High
S15,512,speed,High
S15,513,speed,Medium
S15,514,speed,Medium
S15,515,speed,Low
S15,516,speed,Medium
S15,517,speed,Low
S15,518,speed,Low
S15,519,speed,Low
S15,520,speed,High
S15,521,speed,Low
S15,522,speed,Low
S15,523,speed,Medium
S15,524,speed,Low
S15,525,speed,High
S15,526,speed,Medium
S15,527,speed,Medium
S15,528,speed,Medium
S15,529,speed,Medium
S15,530,speed,High
S15,531,speed,High
S15,532,speed,High
S15,533,speed,Low
S15,534,speed,High
S15,535,speed,High
S15,536,speed,High
S15,537,speed,High
S15,538,speed,Medium
S15,539,speed,High
S15,540,speed,High
S15,541,speed,Low
S15,542,speed,High
S15,543,speed,Low
S15,544,speed,Low
S15,545,speed,Low
S15,546,speed,High
S15,547,speed,Medium
S15,548,speed,Low
S15,549,speed,Medium
S15,550,speed,High
S15,551,speed,Low
S15,552,speed,High
S15,553,speed,High
S15,554,speed,Medium
S15,555,speed,High
S15,556,speed,Low
S15,557,speed,High
S15,558,speed,High
S15,559,speed,Medium
S15,560,speed,High
S15,561,speed,Low
S15,562,speed,High
S15,563,speed,Low
S15,564,speed,Medium
S15,565,speed,Medium
S15,566,speed,Low
S15,567,speed,Medium
S15,568,speed,Low
S15,569,speed,Medium
S15,570,speed,Low
S15,572,speed,Low
S15,573,speed,Low
S15,574,speed,Low
S15,575,speed,Medium
S15,576,speed,Low
S15,577,speed,High
S15,579,speed,Medium
S15,581,speed,Medium
S15,582,speed,Low
S15,584,speed,Medium
S15,585,speed,Low
S15,586,speed,High
S15,587,speed,Low
S15,590,speed,Low
S15,593,speed,High
S15,600,speed,Medium
S15,606,speed,Low
S15,608,speed,Low
S15,609,speed,Medium
S15,610,speed,Low
S15,918,speed,High
S15,919,speed,High
S15,920,speed,Medium
S15,921,speed,Medium
S15,922,speed,Medium
S15,923,speed,High
S15,924,speed,Medium
S15,925,speed,Low
S15,926,speed,Medium
S15,927,speed,Low
S15,928,speed,Medium
S15,929,speed,Medium
S15,930,speed,Low
S15,931,speed,Medium
S15,932,speed,High
S15,933,speed,High
S15,934,speed,Medium
S15,935,speed,Medium
S15,936,speed,Medium
S15,937,speed,High
S15,938,speed,Medium
S15,939,speed,High
S15,940,speed,Low
S15,941,speed,High
S15,942,speed,High
S15,943,speed,Low
S15,944,speed,Low
S15,945,speed,Low
S15,946,speed,Medium
S15,947,speed,Low
S15,948,speed,Medium
S15,949,speed,Low
S15,950,speed,Low
S15,951,speed,Low
S15,952,speed,Low
S15,955,speed,Medium
S15,956,speed,Low
S15,958,speed,Medium
S15,960,speed,Medium
S15,961,speed,High
S15,962,speed,Medium
S15,963,speed,Medium
S15,964,speed,Low
S15,965,speed,Low
S15,966,speed,Medium
S15,970,speed,High
S15,972,speed,Low
S15,975,speed,Low
S15,976,speed,Low
S15,979,speed,Low
S15,980,speed,Low
S15,982,speed,Low
S15,985,speed,Low
S15,986,speed,Low
S15,988,speed,Medium
S15,992,speed,Medium
S15,993,speed,Low
S15,994,speed,Low
S15,995,speed,Low
S15,996,speed,Low
S15,997,speed,High
S15,999,speed,High
S15,1000,speed,High
S15,1001,speed,Medium
S15,1002,speed,Medium
S15,1003,speed,Low
S15,1004,speed,Medium
S15,1005,speed,Medium
S15,1006,speed,Low
S15,1007,speed,High
S15,1009,speed,High
S15,1011,speed,Medium
S15,1012,speed,Medium
S15,1014,speed,Medium
S15,1015,speed,Low
S15,1017,speed,Low
S15,1018,speed,Low
S15,1020,accuracy,High
S15,1021,accuracy,High
S15,1022,accuracy,Medium
S15,1023,accuracy,High
S15,1024,accuracy,Low
S15,1025,accuracy,Medium
S15,1026,accuracy,High
S15,1027,accuracy,High
S15,1028,accuracy,High
S15,1029,accuracy,Medium
S15,1030,accuracy,Medium
S15,1031,accuracy,Medium
S15,1032,accuracy,Medium
S15,1033,accuracy,Low
S15,1034,accuracy,High
S15,1035,accuracy,Medium
S15,1036,accuracy,High
S15,1037,accuracy,Low
S15,1038,accuracy,Medium
S15,1039,accuracy,Low
S15,1040,accuracy,Medium
S15,1041,accuracy,Low
S15,1042,accuracy,Medium
S15,1043,accuracy,High
S15,1044,accuracy,Medium
S15,1045,accuracy,Medium
S15,1046,accuracy,Medium
S15,1047,accuracy,Low
S15,1048,accuracy,Low
S15,1049,accuracy,Medium
S15,1050,accuracy,Medium
S15,1051,accuracy,Medium
S15,1052,accuracy,High
S15,1053,accuracy,Medium
S15,1054,accuracy,High
S15,1055,accuracy,Medium
S15,1056,accuracy,High
S15,1057,accuracy,Low
S15,1058,accuracy,High
S15,1059,accuracy,High
S15,1060,accuracy,Medium
S15,1061,accuracy,Low
S15,1062,accuracy,Medium
S15,1063,accuracy,Medium
S15,1064,accuracy,High
S15,1065,accuracy,Medium
S15,1066,accuracy,Low
S15,1067,accuracy,High
S15,1068,accuracy,Medium
S15,1069,accuracy,Low
S15,1070,accuracy,Low
S15,1071,accuracy,Medium
S15,1072,accuracy,Medium
S15,1073,accuracy,Medium
S15,1074,accuracy,Low
S15,1075,accuracy,High
S15,1076,accuracy,High
S15,1077,accuracy,Medium
S15,1078,accuracy,Low
S15,1079,accuracy,Low
S15,1080,accuracy,Medium
S15,1081,accuracy,High
S15,1082,accuracy,Medium
S15,1083,accuracy,High
S15,1084,accuracy,Medium
S15,1085,accuracy,Medium
S15,1086,accuracy,Medium
S15,1087,accuracy,Medium
S15,1088,accuracy,High
S15,1089,accuracy,High
S15,1090,accuracy,Medium
S15,1091,accuracy,Medium
S15,1092,accuracy,Low
S15,1093,accuracy,High
S15,1094,accuracy,Medium
S15,1095,accuracy,Low
S15,1096,accuracy,Medium
S15,1097,accuracy,Medium
S15,1098,accuracy,Low
S15,1099,accuracy,Medium
S15,1100,accuracy,Medium
S15,1101,accuracy,Low
S15,1102,accuracy,Medium
S15,1103,accuracy,High
S15,1104,accuracy,Medium
S15,1105,accuracy,High
S15,1106,accuracy,High
S15,1107,accuracy,High
S15,1108,accuracy,Medium
S15,1109,accuracy,Low
S15,1110,accuracy,Medium
S15,1111,accuracy,Medium
S15,1113,accuracy,Low
S15,1115,accuracy,Medium
S15,1116,accuracy,Medium
S15,1117,accuracy,Low
S15,1118,accuracy,Low
S15,1119,accuracy,Low
S15,1120,accuracy,Low
S15,1122,accuracy,High
S15,1123,accuracy,High
S15,1124,accuracy,High
S15,1125,accuracy,Low
S15,1126,accuracy,High
S15,1127,accuracy,Low
S15,1130,accuracy,High
S15,1131,accuracy,Medium
S15,1132,accuracy,High
S15,1133,accuracy,Medium
S15,1134,accuracy,High
S15,1135,accuracy,Medium
S15,1136,accuracy,High
S15,1137,accuracy,Medium
S15,1138,accuracy,Medium
S15,1139,accuracy,Medium
S15,1140,accuracy,High
S15,1141,accuracy,Medium
S15,1142,accuracy,High
S15,1143,accuracy,Medium
S15,1144,accuracy,High
S15,1145,accuracy,Medium
S15,1146,accuracy,High
S15,1147,accuracy,Medium
S15,1148,accuracy,High
S15,1149,accuracy,High
S15,1150,accuracy,Low
S15,1151,accuracy,High
S15,1152,accuracy,High
S15,1153,accuracy,High
S15,1154,accuracy,High
S15,1155,accuracy,Medium
S15,1156,accuracy,Medium
S15,1157,accuracy,Medium
S15,1158,accuracy,High
S15,1159,accuracy,High
S15,1160,accuracy,Low
S15,1161,accuracy,High
S15,1162,accuracy,Medium
S15,1163,accuracy,Medium
S15,1164,accuracy,High
S15,1165,accuracy,Medium
S15,1166,accuracy,Low
S15,1167,accuracy,Low
S15,1168,accuracy,Low
S15,1169,accuracy,Medium
S15,1170,accuracy,High
S15,1171,accuracy,Medium
S15,1172,accuracy,High
S15,1173,accuracy,Low
S15,1174,accuracy,Low
S15,1175,accuracy,Low
S15,1176,accuracy,Medium
S15,1177,accuracy,High
S15,1178,accuracy,High
S15,1179,accuracy,Medium
S15,1180,accuracy,High
S15,1181,accuracy,Low
S15,1182,accuracy,Low
S15,1183,accuracy,High
S15,1184,accuracy,Medium
S15,1185,accuracy,Low
S15,1186,accuracy,Low
S15,1187,accuracy,High
S15,1188,accuracy,Medium
S15,1189,accuracy,Medium
S15,1190,accuracy,High
S15,1191,accuracy,High
S15,1192,accuracy,High
S15,1193,accuracy,High
S15,1194,accuracy,High
S15,1195,accuracy,High
S15,1196,accuracy,High
S15,1197,accuracy,Low
S15,1198,accuracy,Medium
S15,1199,accuracy,Medium
S15,1200,accuracy,High
S15,1201,accuracy,Low
S15,1202,accuracy,Low
S15,1203,accuracy,Medium
S15,1204,accuracy,Low
S15,1205,accuracy,Low
S15,1206,accuracy,Low
S15,1207,accuracy,Medium
S15,1208,accuracy,High
S15,1209,accuracy,Medium
S15,1210,accuracy,High
S15,1211,accuracy,High
S15,1212,accuracy,Low
S15,1213,accuracy,Low
S15,1214,accuracy,Medium
S15,1215,accuracy,Low
S15,1216,accuracy,Low
S15,1217,accuracy,High
S15,1218,accuracy,Low
S15,1219,accuracy,Low
S15,1220,accuracy,High
S15,1221,accuracy,Medium
S15,1222,accuracy,Medium
S15,1530,accuracy,Medium
S15,1531,accuracy,High
S15,1532,accuracy,Low
S15,1533,accuracy,Low
S15,1534,accuracy,Medium
S15,1535,accuracy,Medium
S15,1536,accuracy,Low
S15,1537,accuracy,Low
S15,1538,accuracy,Low
S15,1539,accuracy,Medium
S15,1540,accuracy,Low
S15,1541,accuracy,Low
S15,1542,accuracy,Low
S15,1543,accuracy,High
S15,1544,accuracy,Medium
S15,1545,accuracy,Low
S15,1546,accuracy,Low
S15,1547,accuracy,Low
S15,1548,accuracy,Low
S15,1549,accuracy,Low
S15,1550,accuracy,Medium
S15,1551,accuracy,Low
S15,1552,accuracy,Low
S15,1553,accuracy,Low
S15,1554,accuracy,Low
S15,1555,accuracy,Low
S15,1556,accuracy,Medium
S15,1557,accuracy,Low
S15,1558,accuracy,Medium
S15,1559,accuracy,Low
S15,1560,accuracy,Low
S15,1561,accuracy,Low
S15,1562,accuracy,Low
S15,1563,accuracy,Medium
S15,1564,accuracy,Medium
S15,1565,accuracy,Low
S15,1566,accuracy,Low
S15,1567,accuracy,High
S15,1568,accuracy,Medium
S15,1569,accuracy,Medium
S15,1570,accuracy,High
S15,1571,accuracy,Low
S15,1572,accuracy,Low
S15,1573,accuracy,High
S15,1574,accuracy,Medium
S15,1575,accuracy,High
S15,1576,accuracy,Low
S15,1577,accuracy,Low
S15,1578,accuracy,Medium
S15,1579,accuracy,Medium
S15,1580,accuracy,High
S15,1581,accuracy,High
S15,1582,accuracy,High
S15,1583,accuracy,Medium
S15,1584,accuracy,High
S15,1585,accuracy,Low
S15,1586,accuracy,High
S15,1587,accuracy,Medium
S15,1588,accuracy,High
S15,1589,accuracy,Low
S15,1590,accuracy,Low
S15,1591,accuracy,High
S15,1592,accuracy,Low
S15,1593,accuracy,Medium
S15,1594,accuracy,Low
S15,1595,accuracy,Low
S15,1596,accuracy,Low
S15,1597,accuracy,Low
S15,1598,accuracy,Low
S15,1599,accuracy,Low
S15,1600,accuracy,Low
S15,1601,accuracy,Low
S15,1602,accuracy,Low
S15,1603,accuracy,Low
S15,1604,accuracy,Low
S15,1605,accuracy,Low
S15,1606,accuracy,Low
S15,1607,accuracy,Low
S15,1608,accuracy,Low
S15,1609,accuracy,Medium
S15,1610,accuracy,Medium
S15,1611,accuracy,Low
S15,1612,accuracy,Medium
S15,1613,accuracy,High
S15,1614,accuracy,Low
S15,1615,accuracy,Low
S15,1616,accuracy,Medium
S15,1617,accuracy,Low
S15,1618,accuracy,Low
S15,1619,accuracy,Low
S15,1620,accuracy,Low
S15,1621,accuracy,Low
S15,1623,accuracy,Low
S15,1624,accuracy,Low
S15,1625,accuracy,Medium
S15,1626,accuracy,Low
S15,1627,accuracy,Low
S15,1628,accuracy,High
S15,1629,accuracy,High
S15,1630,accuracy,Low
S15,1632,speed,High
S15,1633,speed,High
S15,1634,speed,Low
S15,1635,speed,High
S15,1636,speed,Medium
S15,1637,speed,Low
S15,1638,speed,Low
S15,1639,speed,Medium
S15,1640,speed,Low
S15,1641,speed,Low
S15,1643,speed,Medium
S15,1644,speed,Low
S15,1648,speed,Low
S15,1651,speed,Low
S15,1653,speed,Low
S15,1654,speed,High
S15,1655,speed,Low
S15,1656,speed,Medium
S15,1657,speed,Low
S15,1658,speed,Medium
S15,1659,speed,Low
S15,1660,speed,Medium
S15,1661,speed,Medium
S15,1662,speed,Medium
S15,1663,speed,Low
S15,1664,speed,High
S15,1666,speed,High
S15,1667,speed,High
S15,1668,speed,High
S15,1669,speed,High
S15,1670,speed,Low
S15,1671,speed,Low
S15,1672,speed,High
S15,1673,speed,Low
S15,1674,speed,Medium
S15,1675,speed,High
S15,1676,speed,Low
S15,1677,speed,Low
S15,1678,speed,Medium
S15,1679,speed,Medium
S15,1680,speed,Medium
S15,1681,speed,High
S15,1682,speed,High
S15,1683,speed,High
S15,1684,speed,Medium
S15,1685,speed,Low
S15,1686,speed,Low
S15,1688,speed,High
S15,1689,speed,Low
S15,1690,speed,Medium
S15,1691,speed,Low
S15,1692,speed,High
S15,1693,speed,Medium
S15,1694,speed,Low
S15,1695,speed,High
S15,1696,speed,Low
S15,1698,speed,Low
S15,1699,speed,Low
S15,1700,speed,Medium
S15,1701,speed,Medium
S15,1702,speed,Medium
S15,1703,speed,Low
S15,1704,speed,Low
S15,1706,speed,Low
S15,1708,speed,Low
S15,1710,speed,Low
S15,1712,speed,Low
S15,1713,speed,Low
S15,1714,speed,High
S15,1715,speed,Low
S15,1717,speed,High
S15,1718,speed,High
S15,1719,speed,High
S15,1720,speed,Medium
S15,1721,speed,Medium
S15,1722,speed,Low
S15,1723,speed,High
S15,1724,speed,High
S15,1725,speed,High
S15,1726,speed,Low
S15,1727,speed,Medium
S15,1728,speed,High
S15,1729,speed,High
S15,1730,speed,High
S15,1731,speed,High
S15,1732,speed,Medium
S15,1734,speed,Medium
S15,1735,speed,High
S15,1736,speed,High
S15,1737,speed,Low
S15,1738,speed,High
S15,1739,speed,Medium
S15,1740,speed,Medium
S15,1741,speed,Low
S15,1742,speed,Medium
S15,1743,speed,Low
S15,1744,speed,Medium
S15,1745,speed,Low
S15,1746,speed,High
S15,1747,speed,Medium
S15,1748,speed,Low
S15,1749,speed,Low
S15,1750,speed,Low
S15,1751,speed,Medium
S15,1752,speed,Low
S15,1755,speed,Low
S15,1758,speed,Low
S15,1760,speed,Low
S15,1762,speed,Medium
S15,1763,speed,Medium
S15,1764,speed,Low
S15,1765,speed,Low
S15,1771,speed,Medium
S15,1772,speed,Medium
S15,1776,speed,Low
S15,1778,speed,Medium
S15,1780,speed,Medium
S15,1781,speed,High
S15,1783,speed,Medium
S15,1784,speed,Medium
S15,1789,speed,Medium
S15,1793,speed,Medium
S15,1799,speed,High
S15,1805,speed,Low
S15,1806,speed,Medium
S15,1809,speed,Low
S15,1811,speed,Medium
S15,1812,speed,Medium
S15,1813,speed,Medium
S15,1816,speed,Medium
S15,1817,speed,Low
S15,1818,speed,Medium
S15,1821,speed,Medium
S15,1822,speed,High
S15,1823,speed,Medium
S15,1824,speed,High
S15,1825,speed,Medium
S15,1827,speed,Low
S15,1828,speed,Low
S15,1829,speed,Medium
S15,1832,speed,High
S15,1833,speed,High
S15,1834,speed,Medium
S15,2142,speed,Medium
S15,2143,speed,Medium
S15,2144,speed,Medium
S15,2145,speed,Low
S15,2146,speed,Low
S15,2147,speed,Medium
S15,2148,speed,Medium
S15,2150,speed,Low
S15,2151,speed,High
S15,2152,speed,High
S15,2157,speed,Medium
S15,2158,speed,Low
S15,2159,speed,Low
S15,2160,speed,Low
S15,2164,speed,Low
S15,2165,speed,Medium
S15,2166,speed,Medium
S15,2167,speed,Medium
S15,2168,speed,Low
S15,2169,speed,Medium
S15,2170,speed,Medium
S15,2171,speed,Medium
S15,2174,speed,High
S15,2175,speed,Medium
S15,2176,speed,Low
S15,2177,speed,Medium
S15,2178,speed,Medium
S15,2180,speed,Medium
S15,2181,speed,Medium
S15,2182,speed,Medium
S15,2183,speed,Medium
S15,2184,speed,High
S15,2185,speed,Low
S15,2186,speed,High
S15,2187,speed,Low
S15,2188,speed,Medium
S15,2189,speed,Low
S15,2195,speed,Low
S15,2196,speed,Medium
S15,2197,speed,Low
S15,2199,speed,Low
S15,2200,speed,Medium
S15,2201,speed,Low
S15,2204,speed,Medium
S15,2209,speed,High
S15,2210,speed,Low
S15,2211,speed,Low
S15,2213,speed,Low
S15,2215,speed,Low
S15,2216,speed,Low
S15,2220,speed,Low
S15,2221,speed,High
S15,2223,speed,Medium
S15,2224,speed,High
S15,2228,speed,Low
S15,2229,speed,Low
S15,2230,speed,Low
S15,2231,speed,Medium
S15,2232,speed,High
S15,2233,speed,High
S15,2234,speed,High
S15,2235,speed,Low
S15,2236,speed,Medium
S15,2238,speed,Medium
S15,2239,speed,Medium
S15,2240,speed,Medium
S15,2241,speed,Medium
S15,2242,speed,Low
S15,2244,accuracy,Medium
S15,2245,accuracy,High
S15,2246,accuracy,Low
S15,2247,accuracy,Low
S15,2248,accuracy,Medium
S15,2249,accuracy,High
S15,2250,accuracy,Low
S15,2251,accuracy,Low
S15,2252,accuracy,High
S15,2253,accuracy,Low
S15,2254,accuracy,Medium
S15,2255,accuracy,Medium
S15,2256,accuracy,High
S15,2257,accuracy,Medium
S15,2258,accuracy,Medium
S15,2259,accuracy,Medium
S15,2260,accuracy,Low
S15,2261,accuracy,Medium
S15,2262,accuracy,High
S15,2263,accuracy,Medium
S15,2264,accuracy,Low
S15,2265,accuracy,High
S15,2266,accuracy,Low
S15,2267,accuracy,Medium
S15,2268,accuracy,Medium
S15,2269,accuracy,Low
S15,2270,accuracy,Medium
S15,2271,accuracy,Low
S15,2272,accuracy,Medium
S15,2273,accuracy,Medium
S15,2274,accuracy,High
S15,2275,accuracy,Low
S15,2276,accuracy,Low
S15,2277,accuracy,Low
S15,2278,accuracy,Medium
S15,2279,accuracy,High
S15,2280,accuracy,High
S15,2281,accuracy,Medium
S15,2282,accuracy,Medium
S15,2283,accuracy,Low
S15,2284,accuracy,Medium
S15,2285,accuracy,Medium
S15,2286,accuracy,Medium
S15,2287,accuracy,Medium
S15,2288,accuracy,High
S15,2289,accuracy,High
S15,2290,accuracy,High
S15,2291,accuracy,Medium
S15,2292,accuracy,High
S15,2293,accuracy,Medium
S15,2294,accuracy,Low
S15,2295,accuracy,Low
S15,2296,accuracy,High
S15,2297,accuracy,Low
S15,2298,accuracy,High
S15,2299,accuracy,Low
S15,2300,accuracy,Medium
S15,2301,accuracy,High
S15,2302,accuracy,Medium
S15,2303,accuracy,Low
S15,2304,accuracy,Low
S15,2305,accuracy,Medium
S15,2306,accuracy,Low
S15,2307,accuracy,Low
S15,2308,accuracy,Low
S15,2309,accuracy,Low
S15,2310,accuracy,High
S15,2311,accuracy,Medium
S15,2312,accuracy,High
S15,2313,accuracy,Low
S15,2314,accuracy,Low
S15,2315,accuracy,Low
S15,2316,accuracy,Low
S15,2317,accuracy,Low
S15,2318,accuracy,Medium
S15,2319,accuracy,Low
S15,2320,accuracy,Low
S15,2321,accuracy,Low
S15,2322,accuracy,Low
S15,2323,accuracy,Medium
S15,2324,accuracy,High
S15,2325,accuracy,Medium
S15,2326,accuracy,High
S15,2327,accuracy,High
S15,2328,accuracy,Low
S15,2329,accuracy,High
S15,2330,accuracy,Medium
S15,2331,accuracy,High
S15,2332,accuracy,Medium
S15,2333,accuracy,Low
S15,2334,accuracy,Medium
S15,2335,accuracy,High
S15,2336,accuracy,Low
S15,2337,accuracy,Medium
S15,2338,accuracy,Medium
S15,2339,accuracy,High
S15,2340,accuracy,Medium
S15,2341,accuracy,Low
S15,2342,accuracy,Low
S15,2343,accuracy,Low
S15,2344,accuracy,Low
S15,2346,accuracy,High
S15,2347,accuracy,High
S15,2348,accuracy,High
S15,2349,accuracy,High
S15,2350,accuracy,High
S15,2351,accuracy,Medium
S15,2352,accuracy,High
S15,2353,accuracy,High
S15,2354,accuracy,Medium
S15,2355,accuracy,High
S15,2356,accuracy,High
S15,2357,accuracy,High
S15,2358,accuracy,High
S15,2359,accuracy,High
S15,2360,accuracy,Medium
S15,2361,accuracy,Medium
S15,2362,accuracy,High
S15,2363,accuracy,Low
S15,2364,accuracy,High
S15,2365,accuracy,Medium
S15,2366,accuracy,High
S15,2367,accuracy,Medium
S15,2368,accuracy,Low
S15,2369,accuracy,Medium
S15,2370,accuracy,Low
S15,2371,accuracy,Low
S15,2372,accuracy,Medium
S15,2373,accuracy,High
S15,2374,accuracy,Low
S15,2375,accuracy,High
S15,2376,accuracy,Low
S15,2377,accuracy,High
S15,2378,accuracy,Medium
S15,2379,accuracy,Medium
S15,2380,accuracy,Medium
S15,2381,accuracy,Medium
S15,2382,accuracy,High
S15,2383,accuracy,High
S15,2384,accuracy,Medium
S15,2385,accuracy,Medium
S15,2386,accuracy,Low
S15,2387,accuracy,Medium
S15,2388,accuracy,Medium
S15,2389,accuracy,Medium
S15,2390,accuracy,High
S15,2391,accuracy,High
S15,2392,accuracy,Medium
S15,2393,accuracy,Low
S15,2394,accuracy,Low
S15,2395,accuracy,Medium
S15,2396,accuracy,Low
S15,2397,accuracy,Low
S15,2398,accuracy,Low
S15,2399,accuracy,Medium
S15,2400,accuracy,Low
S15,2401,accuracy,High
S15,2402,accuracy,Medium
S15,2403,accuracy,Low
S15,2404,accuracy,Low
S15,2405,accuracy,Low
S15,2406,accuracy,Medium
S15,2407,accuracy,Low
S15,2408,accuracy,High
S15,2409,accuracy,Medium
S15,2410,accuracy,Low
S15,2411,accuracy,High
S15,2412,accuracy,Medium
S15,2413,accuracy,Low
S15,2414,accuracy,Low
S15,2415,accuracy,Medium
S15,2416,accuracy,Low
S15,2417,accuracy,Low
S15,2418,accuracy,Low
S15,2419,accuracy,Low
S15,2420,accuracy,Medium
S15,2421,accuracy,Medium
S15,2422,accuracy,Low
S15,2423,accuracy,Low
S15,2424,accuracy,Low
S15,2425,accuracy,Low
S15,2426,accuracy,Low
S15,2427,accuracy,Low
S15,2428,accuracy,Medium
S15,2429,accuracy,Low
S15,2430,accuracy,High
S15,2431,accuracy,Medium
S15,2432,accuracy,Low
S15,2433,accuracy,Low
S15,2434,accuracy,Low
S15,2435,accuracy,Low
S15,2436,accuracy,Low
S15,2437,accuracy,High
S15,2438,accuracy,Low
S15,2439,accuracy,Low
S15,2440,accuracy,Medium
S15,2441,accuracy,Medium
S15,2442,accuracy,Low
S15,2443,accuracy,Low
S15,2444,accuracy,Low
S15,2445,accuracy,Low
S15,2446,accuracy,High
S17,0,speed,High
S17,1,speed,High
S17,2,speed,High
S17,3,speed,High
S17,4,speed,Medium
S17,5,speed,High
S17,6,speed,High
S17,7,speed,Medium
S17,8,speed,Medium
S17,9,speed,Medium
S17,10,speed,Medium
S17,11,speed,Medium
S17,15,speed,Medium
S17,16,speed,High
S17,17,speed,High
S17,18,speed,High
S17,19,speed,Medium
S17,20,speed,Low
S17,21,speed,Low
S17,22,speed,Low
S17,23,speed,Low
S17,25,speed,Medium
S17,26,speed,Medium
S17,27,speed,High
S17,28,speed,High
S17,29,speed,Medium
S17,30,speed,Low
S17,31,speed,Low
S17,32,speed,Medium
S17,33,speed,Medium
S17,34,speed,High
S17,35,speed,Low
S17,36,speed,High
S17,37,speed,High
S17,38,speed,High
S17,39,speed,High
S17,40,speed,Medium
S17,41,speed,High
S17,42,speed,Medium
S17,43,speed,High
S17,44,speed,High
S17,45,speed,Low
S17,46,speed,High
S17,47,speed,Medium
S17,48,speed,Low
S17,49,speed,Low
S17,50,speed,Low
S17,51,speed,High
S17,52,speed,Medium
S17,53,speed,High
S17,54,speed,Medium
S17,55,speed,Low
S17,56,speed,Medium
S17,57,speed,High
S17,58,speed,High
S17,59,speed,Medium
S17,60,speed,Medium
S17,61,speed,Medium
S17,62,speed,Low
S17,65,speed,High
S17,66,speed,Low
S17,67,speed,High
S17,68,speed,High
S17,69,speed,Medium
S17,70,speed,High
S17,71,speed,High
S17,72,speed,Medium
S17,73,speed,High
S17,74,speed,Low
S17,75,speed,Low
S17,76,speed,Medium
S17,77,speed,Medium
S17,78,speed,Low
S17,79,speed,High
S17,80,speed,High
S17,81,speed,Medium
S17,84,speed,Low
S17,85,speed,Medium
S17,86,speed,Medium
S17,87,speed,Low
S17,88,speed,Low
S17,89,speed,Low
S17,90,speed,Low
S17,91,speed,Medium
S17,92,speed,Low
S17,94,speed,High
S17,95,speed,High
S17,96,speed,Medium
S17,97,speed,Low
S17,98,speed,Medium
S17,99,speed,Low
S17,100,speed,High
S17,102,speed,Medium
S17,103,speed,Low
S17,104,speed,Low
S17,106,speed,Low
S17,107,speed,Low
S17,108,speed,Low
S17,109,speed,Medium
S17,110,speed,High
S17,111,speed,High
S17,112,speed,Medium
S17,113,speed,High
S17,114,speed,Low
S17,115,speed,Low
S17,116,speed,Medium
S17,117,speed,High
S17,118,speed,Low
S17,119,speed,High
S17,120,speed,Medium
S17,121,speed,Medium
S17,123,speed,Low
S17,124,speed,Medium
S17,128,speed,Medium
S17,129,speed,Low
S17,130,speed,Medium
S17,131,speed,High
S17,132,speed,Medium
S17,133,speed,Low
S17,135,speed,Low
S17,136,speed,High
S17,140,speed,Low
S17,142,speed,Low
S17,143,speed,Medium
S17,144,speed,High
S17,145,speed,High
S17,146,speed,Medium
S17,147,speed,High
S17,148,speed,Low
S17,149,speed,Medium
S17,150,speed,Low
S17,151,speed,High
S17,152,speed,Medium
S17,153,speed,Low
S17,154,speed,Low
S17,155,speed,Medium
S17,156,speed,High
S17,157,speed,High
S17,158,speed,Medium
S17,159,speed,High
S17,160,speed,High
S17,161,speed,High
S17,162,speed,High
S17,163,speed,High
S17,164,speed,Medium
S17,165,speed,Low
S17,166,speed,Low
S17,167,speed,High
S17,168,speed,High
S17,169,speed,Medium
S17,170,speed,Medium
S17,171,speed,High
S17,172,speed,High
S17,173,speed,Medium
S17,174,speed,Low
S17,175,speed,High
S17,176,speed,High
S17,177,speed,High
S17,178,speed,High
S17,179,speed,High
S17,180,speed,Medium
S17,181,speed,Medium
S17,182,speed,High
S17,183,speed,Medium
S17,184,speed,High
S17,185,speed,High
S17,186,speed,High
S17,187,speed,High
S17,188,speed,Medium
S17,189,speed,High
S17,190,speed,High
S17,191,speed,Low
S17,192,speed,High
S17,193,speed,High
S17,194,speed,High
S17,195,speed,High
S17,196,speed,High
S17,197,speed,High
S17,198,speed,High
S17,199,speed,Medium
S17,200,speed,Medium
S17,201,speed,Medium
S17,204,accuracy,Low
S17,205,accuracy,Medium
S17,206,accuracy,High
S17,207,accuracy,High
S17,208,accuracy,Medium
S17,209,accuracy,Low
S17,210,accuracy,High
S17,211,accuracy,Low
S17,212,accuracy,Low
S17,213,accuracy,High
S17,214,accuracy,Low
S17,215,accuracy,High
S17,216,accuracy,High
S17,217,accuracy,High
S17,218,accuracy,Medium
S17,219,accuracy,High
S17,220,accuracy,High
S17,221,accuracy,High
S17,222,accuracy,Medium
S17,223,accuracy,Medium
S17,224,accuracy,Medium
S17,225,accuracy,Medium
S17,226,accuracy,Low
S17,227,accuracy,Medium
S17,228,accuracy,Medium
S17,229,accuracy,Medium
S17,230,accuracy,Medium
S17,231,accuracy,Medium
S17,232,accuracy,Low
S17,233,accuracy,Medium
